Author,Quote,Tags
Rabindranath Tagore,"Clouds come floating into my life, no longer to carry rain or usher storm, but to add color to my sunset sky.","['aspiration', 'assurance', 'beauty', 'clouds', 'color', 'conviction', 'inspirational', 'maturity', 'sunset']"
Anna Quindlen,"Books are the plane, and the train, and the road. They are the destination, and the journey. They are home.","['books', 'journey', 'reading', 'travel']"
Albert Schweitzer,"Sometimes our light goes out, but is blown again into instant flame by an encounter with another human being.","['inspirational', 'life', 'spiritual', 'uplifting']"
Joseph Campbell,Life has no meaning. Each of us has meaning and we bring it to life. It is a waste to be asking the question when you are the answer.,['meaning-of-life']
J.K. rowling,Fear of a name increases fear of the thing itself.,['fear']
Shel Silverstein,How many slams in an old screen door? Depends how loud you shut it. How many slices in a bread? Depends how thin you cut it. How much good inside a day? Depends how good you live 'em. How much love inside a friend? Depends how much you give 'em.,"['friend', 'friendship', 'good-day', 'how-many', 'how-much', 'life', 'live-well', 'love']"
Herman Melville,It is better to fail in originality than to succeed in imitation.,['success']
Cathy Guiswite,"When life gives you lemons, squirt someone in the eye.","['eyes', 'funny', 'lemons']"
Charles Bukowski,"That's the problem with drinking, I thought, as I poured myself a drink. If something bad happens you drink in an attempt to forget; if something good happens you drink in order to celebrate; and if nothing happens you drink to make something happen.",['alcohol']
Roy T. Bennett,"If you want to be happy, do not dwell in the past, do not worry about the future, focus on living fully in the present.","['focus', 'future', 'happiness', 'happy', 'inspiration', 'inspirational', 'inspirational-quotes', 'letting-go-of-the-past', 'life', 'life-and-living', 'life-quotes', 'live', 'living', 'living-in-the-present', 'living-life', 'living-life-to-the-fullest', 'living-now', 'worry']"
Pedro Calderon de la Barca,When love is not madness it is not love.,"['love', 'romance']"
Leo Tolstoy,"I think... if it is true that there are as many minds as there are heads, then there are as many kinds of love as there are hearts.","['care', 'diversity', 'heart', 'individuality', 'love', 'mind', 'seduction', 'soul']"
Einstein,"Once you can accept the universe as matter expanding into nothing that is something, wearing stripes with plaid comes easy.",['funny']
Ralph Waldo Emerson,"I cannot remember the books I've read any more than the meals I have eaten; even so, they have made me.","['books', 'reading', 'we-are-what-we-eat', 'we-are-what-we-read', 'you-are-what-you-eat', 'you-are-what-you-read']"
A.A. Milne,"People say nothing is impossible, but I do nothing every day.","['humor', 'idleness', 'inspirational']"
A. A. Milne,"It is more fun to talk with someone who doesn't use long, difficult words but rather short, easy words like ""What about lunch?",['friendship']
Patrick Rothfuss,It's like everyone tells a story about themselves inside their own head. Always. All the time. That story makes you what you are. We build ourselves out of that story.,"['identity', 'self-image', 'sense-of-self', 'stories', 'storytelling']"
Laurell K. Hamilton,There are wounds that never show on the body that are deeper and more hurtful than anything that bleeds.,"['depression', 'pain', 'trauma']"
Jane Austen,"Vanity and pride are different things, though the words are often used synonymously. A person may be proud without being vain. Pride relates more to our opinion of ourselves, vanity to what we would have others think of us.","['prejudice', 'pride', 'vanity']"
Veronica Roth,A brave man acknowledges the strength of others.,"['bravery', 'recognition', 'strength']"
Timothy Leary,Women who seek to be equal with men lack ambition.,"['ambition', 'equality']"
Lewis Carroll,"Begin at the beginning,"" the King said, very gravely, ""and go on till you come to the end: then stop.",['humor']
Cassandra Clare,"Can I help you with something?""Clary turned instant traitor against her gender. ""Those girls on the other side of the car are staring at you.""Jace assumed an air of mellow gratification. ""Of course they are,"" he said, ""I am stunningly attractive.","['city-of-bones', 'clary', 'jace']"
John Waters,"If you go home with somebody, and they don't have books, don't fuck 'em!","['books', 'fuck', 'profanity', 'reading']"
John Green,Some people have lives; some people have music.,"['humor', 'life', 'music']"
Lao Tzu,The journey of a thousand miles begins with a single step.,['travel']
C.S. Lewis,We are not necessarily doubting that God will do the best for us; we are wondering how painful the best will turn out to be.,['god']
Neil Gaiman,"People think dreams aren't real just because they aren't made of matter, of particles. Dreams are real. But they are made of viewpoints, of images, of memories and puns and lost hopes.","['dreams', 'sandman']"
Stephanie Klein,"Tell the truth, or someone will tell it for you.","['humor', 'life', 'memoir', 'truth']"
Nicholas Sparks,"If you like her, if she makes you happy, and if you feel like you know her---then don't let her go.",['love']
Henry David Thoreau,"Rather than love, than money, than fame, give me truth.","['truth', 'values']"
Umberto Eco,We live for books.,"['bibliophiles', 'book-lovers', 'books', 'reading']"
J.R.R. Tolkien,"Fantasy is escapist, and that is its glory. If a soldier is imprisioned by the enemy, don't we consider it his duty to escape?. . .If we value the freedom of mind and soul, if we're partisans of liberty, then it's our plain duty to escape, and to take as many people with us as we can!","['fantasy', 'literature', 'philosophy']"
Kalu Ndukwe Kalu,"The things you do for yourself are gone when you are gone, but the things you do for others remain as your legacy.","['hope', 'inspiration', 'inspirational', 'life', 'truth']"
Roy T. Bennett,Life becomes easier and more beautiful when we can see the good in other people.,"['goodness', 'inspiration', 'inspirational', 'inspirational-quotes', 'inspire', 'inspiring', 'kindness', 'life', 'life-quotes', 'living', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking']"
Elbert Hubbard,"God will not look you over for medals, degrees or diplomas but for scars.","['faith', 'god', 'wisdom']"
Ernest Hemingway,"The most painful thing is losing yourself in the process of loving someone too much, and forgetting that you are special too.","['love', 'pain', 'relationships', 'self']"
Sarah Dessen,"Some things don't last forever, but some things do. Like a good song, or a good book, or a good memory you can take out and unfold in your darkest times, pressing down on the corners and peering in close, hoping you still recognize the person you see there.",['forever']
Pablo Picasso,Art is the lie that enables us to realize the truth.,"['art', 'truth']"
Dr. Seuss,"Think left and think right and think low and think high. Oh, the thinks you can think up if only you try!","['humor', 'philosophy']"
Bertrand Russell,"Do not fear to be eccentric in opinion, for every opinion now accepted was once eccentric.","['confidence', 'eccentricity', 'philosophy']"
Nicholas Sparks,"Mom says it's because she has PMS.Do you even know what that means?""I'm not a little kid anymore. It means pissed-at- men syndrome",['humor']
Lemony Snicket,I suppose I'll have to add the force of gravity to my list of enemies.,['humor']
Langston Hughes,Life is for the living.Death is for the dead.Let life be like music. And death a note unsaid.,"['death', 'life', 'music']"
Richelle Mead,Only a true best friend can protect you from your immortal enemies.,"['friendship', 'humor', 'romance']"
Chuck Palahniuk,The only way to find true happiness is to risk being completely cut open.,"['chance', 'happiness', 'risk']"
Maya Angelou,"You may not control all the events that happen to you, but you can decide not to be reduced by them.","['be-yourself', 'self-determination']"
Albert Einstein,"If I were not a physicist, I would probably be a musician. I often think in music. I live my daydreams in music. I see my life in terms of music.",['music']
Terry Pratchett,"If cats looked like frogs we'd realize what nasty, cruel little bastards they are. Style. That's what people remember.","['cats', 'humor', 'life']"
Ernest Hemingway,The best way to find out if you can trust somebody is to trust them.,"['trust', 'truth']"
P.G. Wodehouse,There is no surer foundation for a beautiful friendship than a mutual taste in literature.,"['friendship', 'literature']"
Oscar Wilde (attributed to),Some cause happiness wherever they go; others whenever they go.,['classic-insult']
Elie Wiesel,"There may be times when we are powerless to prevent injustice, but there must never be a time when we fail to protest.","['activism', 'ethics', 'justice', 'philosophy']"
Albert Einstein,The most beautiful experience we can have is the mysterious. It is the fundamental emotion that stands at the cradle of true art and true science.,"['1931', 'art', 'mystery', 'philosophy', 'science']"
Leonardo da Vinci,"A painter should begin every canvas with a wash of black, because all things in nature are dark except where exposed by the light.","['art', 'inspirational']"
George R.R. Martin,"Some old wounds never truly heal, and bleed again at the slightest word.","['hurt', 'pain', 'perfect', 'truthful']"
Cassandra Clare,Declarations of love amuse me. Especially when unrequited.,"['clary-fray', 'jace-wayland', 'love']"
Cassandra Clare,"People aren't born good or bad. Maybe they're born with tendencies either way, but its the way you live your life that matters.","['bad', 'good', 'life']"
